Supplementary Data 1: Survey of existing gene list analysis portals.,,,,,,,,,,,,
Portal,URL,Reference (see Suppl Reference Table),Future Proof (Last Database Update),Comprehensiveness,,,,,User Interface,Interpretation & Communication,,Additional Comments
,,,,ID Conversion/Model Organism,Enrichment Clustering,Protein Network Analysis,Annotation and Membership,Meta Analysis,,Visualization,Report,
Babelomics,http://babelomics.bioinfo.cipf.es/,1,"2014, Dec (according to https://github.com/babelomics/babelomics/wiki/Software-and-databases-used; also see previous review.)","Supports 8 organisms. Testing with Brass list indicates gene symbol, RefSeq and Ensembl ID are supported (Entrez Gene ID not supported).",Enrichment analysis is performed with Fatigo. No clustering. Relies on DAG for term grouping.,Overall network is constructed with SNOW analysis tool.  Network statistics data are provided.,,,"User requests are queued for process.  Enrichment and PPI analyses are done with two separate tools, Fatigo and SNOW, respectively.",Enrichment results are visualized using DAG. Both DAG network and PPI network are visualized using an online graph viewer called CellMap.,Results are downloadable in txt files.,"The web site no longer renders correctly in Chrome, IE, or Firefox.  Our testing was done using Safari on OSX.  The web page states it was optimized for Chrome 36+, our Chrome version is 64. The portal contains additional tools for turning data from specific omics platforms into a gene list."
DAVID,https://david.ncifcrf.gov,2,"2016, Oct",Many ID types and model organisms.  Ortholog conversion tool was not found.,Dynamic clustering.,"PPI data is used in the context of enrichment analysis, not for interactome network analysis.","Provides online gene report, where one can browse gene summary, chromosome, cytoband and SwissProt meta data online, one gene at a time.",,Enrichment analysis is lightning fast.,Enrichment results are presented as a bar graph on the page.,Results are downloadable in txt files.,The most widely adopted system.
Enrichr,http://amp.pharm.mssm.edu/Enrichr/,3,"2018 (some sources are not updated, e.g. KEGG2016)",Human gene symbols as input.,Each term category is analyzed and visualized independently.,,,,,"Online visualizations on enrichment terms in grid, network, clustergram forms.  Independent visualization for each specific ontology catalog alone.",Results and graphics can be exported for each category independently.,Probably contains the most comprehensive enrichment ontologies.
g:profile,https://biit.cs.ut.ee/gprofiler/,4,"2018, Oct (follow Ensembl release)",All identifiers and organisms supported by Ensembl. Ortholog mapping is supported via g:orth.,Relies on GO DAG for term visualization in a tabular/pseudo heatmap format.,PPI Network is constructed.,,"Enrichment analysis supports multiple gene lists in g:Cocoa. Results visualized in pseudo heatmap format.  Testing with the three flu gene lists showed PPI analysis was not applied to multiple lists, however, PPI analysis can be applied to the list with all genes combined.","Provides easy access to multiple tools. E.g., gene lists submitted under one analysis can be redirected to other tools for further analysis.",Provides visualization for the overall PPI network.,Results are downloadable in txt files.  Network visualization is available in multiple formats.,"Well integrated with Ensembl, therefore provides updated data content covering a wide range of organisms. The portal has been well maintained and improved over the years."
WebGestalt,http://www.webgestalt.org/option.php,5,"2017, Jan","Many ID types, model organisms. Ortholog mapping not observed.",Relies on GO DAG for term grouping.,,,,"Supports one enrichment category at a time, e.g., GO biological processes and cellular component require two separate analyses.",Relies on DAG for enriched term visualization. Generates bar graph visualization for GOSlim.,Results are downloadable in txt files.,A popular resource for enrichment analysis.
Metascape,http://metascape.org,this study,"2018, Oct (monthly update)","Many ID types, 10 model organisms, built-in ortholog mapping.",Enriched terms are grouped on the fly into clusters for further analysis and visualization.,"Extracts PPI network, applies MCODE to identify complexes, then uses enrichment analysis to characterize biological roles of complexes.",Provides over 40 meta data annotations; supports keyword-based membership search.,"Supports arbitrary number of gene lists. ID conversion, gene annotation, membership search, enrichment and network analyses are designed to support meta-analysis from the ground up.",Express Analysis provides one-click analysis. Custom Analysis is available for power users.,"Many publication-ready visualizations, such as enrichment bar graph and network graph.","PowerPoint presentation, Excel report, and web-based Analysis Report (with materials & methods provided).",This study.
PANTHER,http://pantherdb.org/,6,"2018, Feb","Multiple ID types (Entrez Gene ID not supported), multiple organisms.",Relying on GO DAG tree for term grouping.,,,,"The session mechanism may be buggy, we received ""max number of sessions exceeded"" only after one analysis.  We encountered broken result links when navigating the result pages.",PANTHER relies on a dozen predefined high-level biological process classes to provide nice pie-chart summaries for the enrichment results.,Results are downloadable in txt files.,There is a limit on the number of analyses one can do within a short period of time. The test sessions tend to be locked out often.
ToppFun,https://toppgene.cchmc.org/,7,"2018, Oct",Support multiple ID types for human.,,"ToppNet uses PPI data source for the purpose of prioritizing genes based on the interaction between an input gene list to a known ""test"" list.  It is not designed to analyze a single gene list.",,,"Clean interface, easy to use.",Enrichment results for each category can be visualized with an interactive bar-line-combo plot.,Results are downloadable in txt files.,"The ToppGene suite contains multiple components. ToppGene and ToppNet prioritize test genes based on a given training gene list, therefore they were not evaluated for our purpose. ToppGeNet sits on top of ToppGene and ToppNet, therefore was not evaluated. We only evaluate the ToppFun component, which implements functional enrichment analysis for a single gene list."
Intermine,"http://intermine.org/ or 
http://www.humanmine.org/",8,"2017, Aug","Multiple ID types, multiple organisms.",,PPI Network with overall network statistics.,,,"Easy to use, one click to launch analyses covering protein network and enrichment analysis in multiple categories.",Chromosome distribution bar graph and protein network visualization.,All results are displayed within one web page. Results are downloadable in txt files.,The portal is easy to use and offers a one-click for all analysis feature similar to Metascape's Express Analysis.
GoEast,http://omicslab.genetics.ac.cn/GOEAST/,9,"2018, Jul",Standard tools are designed to accept predefined microarray identifiers. Batch-Genes tool accepts gene symbols (not Entrez Gene ID) and multiple organisms.,,,,"It analyzes gene list one at a time using GOEAST. However, Multi-GOEAST allows to compare the output of up-to-three analysis results. There is no plan to support more than three result files (based on FAQ), as it relies on three color channels in visualization.","The main inconvenience is that non-array gene lists need to be analyzed through Batch-Genes tool.  Multi-GOEAST only accepts results of Batch-Genes, not integrated.",DAG graph view.,Results are downloadable in txt files.,"The tool is heavily oriented to support array platforms.  To analyze regular gene lists, it requires some research to find the Batch-Gene tools hidden behind the navigation menu."
GeneMerge,http://www.genemerge.net/,10,"2015, Sep (according to Wadi et al.)","Multiple ID types, multiple organisms.",,,,,,,Results are downloadable in txt files.,Online portal no longer accessible. Evaluation is done based on online manual and publication.
GORILLA,http://cbl-gorilla.cs.technion.ac.il/,11,"2018, Oct","Multiple ID types (Gene symbol, RefSeq, Uniprot, Ensembl), multiple organisms.",Relying on DAG tree for visualization.  Using GO database only.,,,,"Background gene list needs to be explicitly uploaded, does not default to genome background.",DAG graph view.,Results are available in Excel format.  Result can also be redirected to REVIGO (http://revigo.irb.hr/) for further manipulation.,Update is performed weekly according to Gorilla News on the web site.
Consensus PathDB,http://consensuspathdb.org/,12,"2017, Nov","Supports human, yeast and mouse.","Users can restrict ontology terms to the top few levels to reduce redundancy.  Clustering is not explicitly done, however, their similarities are visualized in a network view.",A very comprehensive collection of various interaction data sources and rich tools for network analysis.,,,,Has enrichment network view.,Results are downloadable in txt files.,"The main focus of this tool is interaction network analysis. Use ""induced network modules"" analysis tool for PPI network construction within the gene list. "
GREAT,http://bejerano.stanford.edu/great/public/,13,"2015, Feb",,,,,,,,,"Not a generic gene list analysis portal, as it is specifically designed for analyzing non-coding regions."
FuncAssoicate,http://llama.mshri.on.ca/funcassociate/,14,"2016, Jan","Multiple ID types, multiple organisms.",,,,,Very easy to use.,,"Results are provided in multiple txt files, including enrichment summary data and gene-term association matrix.",The smooth user interface reduces the learning curve.
gsGator,http://gsgator.ewha.ac.kr/,15,"2014, Jan (according to Wadi et al.)","Multiple ID types, multiple organisms. Supports ortholog mapping.",,"No protein network analysis.  However, the PPI data was used to expand input gene list.",,"Meta-analysis feature was not present.  Although the tool performed enrichment analysis on multiple sets, those sets had to be derived from the same input gene list through the combination of ortholog mapping and PPI-expansion.",,The network visualization in the publication is to view the relationship between the multiple derived gene lists and enrichment terms.,,Server no longer reachable. Marked as obsolete on https://omictools.com/gsgator-tool. Evaluation is based on publication.
GeneCodis,http://genecodis.cnb.csic.es/,16,"2011, Dec (Ensembl release 65)","Multiple ID types, multiple organisms.",The latest Version 3 implements the GeneTerm Linker method to reduce redundancy by Metagroups.,,,"The latest version 3 implements support for two groups of genes. It applies analysis to each list, joined list, and genes unique to each list.","Clean interface, easy to use.","Word Cloud display. Linkout to interactive tabular format, pie chart and bar graph displays.",Results are downloadable in txt/xml files.,"A nice portal, but data source update lagged."
GoMiner,http://discover.nci.nih.gov/gominer/,17,"2011, Jan","Designed for microarray IDs, multiple organism.",,,,"There is a batch analysis feature, which automates enrichment analysis for multiple lists, one at a time. No further integration of the analysis results based on individual lists.",,DAG graph view.,Results are downloadable in txt files.,"We were not able to successfully evaluate the web interface of high-throughput GOMiner. Therefore, our evaluation is based on the publication."
GeneTrail2,https://genetrail2.bioinf.uni-sb.de/,18,"2018, Feb","Multiple ID types, multiple organisms.",,"We did not find protein network analysis features in the portal.  Based on publication, there is another portal for NetworkTrail, however, the submission was forwarded to GeneTrail2.  The network analysis described in the paper was derived from KEGG pathways, not from protein-protein interaction databases.",,"We did not find this feature. The multi-omics support seems to refer to accepting input of gene lists, protein list, miRNA lists, independently, not as the simultaneous analysis of multiple lists.",Easy to use.,"Interactive Clustergram, Circos plot.",Results are downloadable in txt files.,"This tool is easy to use, implemented with a very up-to-date programming framework. We were unable to identify features related to meta-analysis or interactome analysis during our evaluation."
